GROUP_SET	GROUP_ID	GROUP_NAME	TEAM_ID	TEAM_ABBREVIATION	GP	W	L	W_PCT	MIN	FGM	FGA	FG_PCT	FG3M	FG3A	FG3_PCT	FTM	FTA	FT_PCT	OREB	DREB	REB	AST	TOV	STL	BLK	BLKA	PF	PFD	PTS	PLUS_MINUS	GP_RANK	W_RANK	L_RANK	W_PCT_RANK	MIN_RANK	FGM_RANK	FGA_RANK	FG_PCT_RANK	FG3M_RANK	FG3A_RANK	FG3_PCT_RANK	FTM_RANK	FTA_RANK	FT_PCT_RANK	OREB_RANK	DREB_RANK	REB_RANK	AST_RANK	TOV_RANK	STL_RANK	BLK_RANK	BLKA_RANK	PF_RANK	PFD_RANK	PTS_RANK	PLUS_MINUS_RANK
Lineups	-201959-202689-203095-203944-1629628-	T. Gibson - K. Walker - E. Fournier - J. Randle - R. Barrett	1610612752	NYK	14	6	8	0.429	57.71	50	107	0.467	27	54	0.5	15	20	0.75	9	38	47	33	13.0	8	10	4	29	26	142	-4.0	52	133	11114	5839	118	117	112	4759	54	82	1535	188	176	3331	211	132	150	104	10956	163	55	10822	11076	97	109	8840
Lineups	-200768-200782-1628389-1629130-1629639-	K. Lowry - P. Tucker - B. Adebayo - D. Robinson - T. Herro	1610612748	MIA	4	2	2	0.5	57.263333333333335	48	111	0.432	11	36	0.306	22	27	0.815	19	43	62	25	19.0	13	5	11	27	27	129	13.0	850	928	9184	4704	119	125	109	5284	198	151	4419	105	110	3054	64	111	98	152	11061	69	174	11102	11065	94	128	270
Lineups	-1628381-1628989-1629027-1629631-1630168-	J. Collins - K. Huerter - T. Young - D. Hunter - O. Okongwu	1610612737	ATL	4	3	1	0.75	57.175	48	105	0.457	17	41	0.415	21	23	0.913	15	40	55	35	16.0	6	7	4	21	23	134	4.0	850	513	3840	3979	120	125	115	4922	102	124	3052	114	142	2605	99	123	113	95	11018	252	99	10822	11027	122	121	1695
Lineups	-201976-1626157-1627736-1629020-1630162-	P. Beverley - K. Towns - M. Beasley - J. Vanderbilt - A. Edwards	1610612750	MIN	19	10	9	0.526	57.1	46	105	0.438	21	57	0.368	20	23	0.87	19	35	54	25	33.0	15	6	6	33	31	133	-22.0	18	23	11128	4702	121	132	115	5227	79	75	3453	123	142	2736	64	151	118	152	11115	54	130	11013	11099	78	124	11108
Lineups	-203473-1628997-1629216-1629622-1629639-	D. Dedmon - C. Martin - G. Vincent - M. Strus - T. Herro	1610612748	MIA	8	5	3	0.625	56.556666666666665	46	91	0.505	18	39	0.462	9	12	0.75	8	36	44	25	14.0	8	11	6	15	13	119	11.0	224	188	10344	4538	122	132	143	3079	96	131	2788	437	414	3331	247	143	168	152	10983	163	45	11013	10907	292	145	371
Lineups	-202685-1627742-1628404-1628984-1629638-	J. Valanciunas - B. Ingram - J. Hart - D. Graham - N. Alexander-Walker	1610612740	NOP	11	5	6	0.455	56.156666666666666	49	100	0.49	15	37	0.405	30	36	0.833	10	35	45	28	14.0	3	3	2	20	25	143	1.0	95	188	11038	5825	123	121	126	4570	122	141	3082	56	65	2868	178	151	160	126	10983	659	369	9845	11013	102	107	3673
Lineups	-203493-203501-203939-1627827-1629029-	R. Bullock - T. Hardaway Jr. - D. Powell - D. Finney-Smith - L. Doncic	1610612742	DAL	15	8	7	0.533	55.945	33	99	0.333	12	53	0.226	9	15	0.6	13	33	46	16	18.0	9	5	6	24	19	87	-36.0	46	65	11087	4699	124	214	130	6592	181	85	5080	437	284	4246	121	173	155	300	11053	132	174	11013	11048	167	223	11146
Lineups	-202331-202704-1627826-1628379-1629611-	P. George - R. Jackson - I. Zubac - L. Kennard - T. Mann	1610612746	LAC	15	8	7	0.533	55.85166666666667	50	100	0.5	12	37	0.324	17	21	0.81	8	47	55	25	15.0	7	7	4	10	23	129	9.0	46	65	11087	4699	125	117	126	3083	181	141	4356	153	161	3071	247	99	113	152	11003	200	99	10822	10660	122	128	531
Lineups	-203084-1627745-1628368-1628963-1630169-	H. Barnes - D. Jones - D. Fox - M. Bagley III - T. Haliburton	1610612758	SAC	8	3	5	0.375	55.68	42	99	0.424	10	31	0.323	20	27	0.741	15	40	55	27	17.0	6	2	7	20	22	114	-17.0	224	513	10937	5966	126	149	130	5501	237	199	4360	123	110	3717	99	123	113	133	11043	252	615	11050	11013	127	152	11044
Lineups	-202339-1628379-1628392-1629611-1630527-	E. Bledsoe - L. Kennard - I. Hartenstein - T. Mann - B. Boston Jr.	1610612746	LAC	11	6	5	0.545	54.95	46	102	0.451	22	45	0.489	11	14	0.786	12	29	41	34	13.0	13	2	4	30	16	125	-3.0	95	133	10937	4692	127	132	125	5029	70	109	2749	323	316	3228	136	213	181	100	10956	69	615	10822	11082	220	133	8081
